pv,value
USEG:UNDS:2150:lambda_U,0.056
USEG:UNDS:2250:lambda_U,0.056
USEG:UNDS:2350:lambda_U,0.056
USEG:UNDS:2450:lambda_U,0.056
USEG:UNDS:2550:lambda_U,0.056
USEG:UNDS:2650:lambda_U,0.056
USEG:UNDS:2750:lambda_U,0.056
USEG:UNDS:2850:lambda_U,0.056
USEG:UNDS:2950:lambda_U,0.056
USEG:UNDS:3050:lambda_U,0.056
USEG:UNDS:3150:lambda_U,0.056
USEG:UNDS:3250:lambda_U,0.056
USEG:UNDS:3350:lambda_U,0.056
USEG:UNDS:3450:lambda_U,0.056
USEG:UNDS:3650:lambda_U,0.056
USEG:UNDS:3750:lambda_U,0.056
USEG:UNDS:3850:lambda_U,0.056
USEG:UNDS:3950:lambda_U,0.056
USEG:UNDS:4050:lambda_U,0.056
USEG:UNDS:4150:lambda_U,0.056
USEG:UNDS:4250:lambda_U,0.056
USEG:UNDS:4350:lambda_U,0.039
USEG:UNDS:4450:lambda_U,0.039
USEG:UNDS:4550:lambda_U,0.039
USEG:UNDS:4650:lambda_U,0.039
USEG:UNDS:4750:lambda_U,0.039
